id_cliente,regiao,plano,valor_mensalidade,entrou_em_contato_manutencao,id_manutencao,data_ligacao,motivo_contato,churn,data_cancelamento,dias_ate_cancelamento
CLI-1018,Zona Leste - SP,Fibra 1 Giga,199.9,1,MNT-2026-003,2026-02-01 10:45:00,Perda de Pacotes / Oscilação,1,2026-02-23,22.0
CLI-1019,Zona Norte - SP,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1020,Centro - RJ,Fibra 400 Mega,129.9,1,MNT-2026-002,2026-01-15 22:43:34,Sem Conexão / Queda Geral,0,,
CLI-1021,Zona Sul - SP,Fibra 200 Mega,99.9,1,MNT-2026-001,2026-01-10 16:15:14,Perda de Pacotes / Oscilação,0,,
CLI-1022,Zona Norte - SP,Fibra 1 Giga,199.9,0,N/A,,N/A,0,,
CLI-1023,Zona Leste - SP,Fibra 1 Giga,199.9,1,MNT-2026-003,2026-02-01 11:25:48,Perda de Pacotes / Oscilação,0,,
CLI-1024,Zona Leste - SP,Fibra 1 Giga,199.9,0,N/A,,N/A,0,,
CLI-1025,Barra - RJ,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1026,Zona Sul - SP,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1027,Centro - RJ,Fibra 600 Mega,159.9,1,MNT-2026-002,2026-01-16 03:49:31,Perda de Pacotes / Oscilação,0,,
CLI-1028,Centro - RJ,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1029,Zona Sul - SP,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1030,Centro - RJ,Fibra 200 Mega,99.9,1,MNT-2026-002,2026-01-16 00:52:16,Lentidão Extrema,1,2026-01-23,7.0
CLI-1031,Zona Sul - SP,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1032,Zona Sul - SP,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1033,Savassi - BH,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1034,Savassi - BH,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1035,Barra - RJ,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1036,Zona Norte - SP,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1037,Zona Sul - SP,Fibra 600 Mega,159.9,1,MNT-2026-001,2026-01-10 17:48:42,Lentidão Extrema,0,,
CLI-1038,Zona Sul - RJ,Fibra 200 Mega,99.9,1,MNT-2026-005,2026-02-18 03:39:20,Lentidão Extrema,0,,
CLI-1039,Zona Leste - SP,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1040,Zona Sul - SP,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1041,Zona Leste - SP,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1042,Zona Sul - SP,Fibra 400 Mega,129.9,1,MNT-2026-001,2026-01-10 15:41:06,Perda de Pacotes / Oscilação,1,2026-01-23,13.0
CLI-1043,Centro - BH,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1044,Zona Norte - SP,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1045,Zona Sul - RJ,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1046,Zona Norte - SP,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1047,Centro - RJ,Fibra 200 Mega,99.9,1,MNT-2026-002,2026-01-16 02:53:15,Lentidão Extrema,0,,
CLI-1048,Centro - RJ,Fibra 600 Mega,159.9,1,MNT-2026-002,2026-01-16 00:40:17,Lentidão Extrema,1,2026-01-17,1.0
CLI-1049,Zona Sul - SP,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1050,Savassi - BH,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1051,Barra - RJ,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1052,Savassi - BH,Fibra 1 Giga,199.9,0,N/A,,N/A,0,,
CLI-1053,Centro - BH,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1054,Centro - RJ,Fibra 1 Giga,199.9,1,MNT-2026-002,2026-01-16 03:48:57,Perda de Pacotes / Oscilação,0,,
CLI-1055,Centro - BH,Fibra 400 Mega,129.9,1,MNT-2026-004,2026-02-10 12:56:27,Perda de Pacotes / Oscilação,0,,
CLI-1056,Zona Sul - SP,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1057,Zona Sul - SP,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1058,Zona Sul - SP,Fibra 400 Mega,129.9,1,MNT-2026-001,2026-01-10 14:36:28,Lentidão Extrema,1,2026-01-18,8.0
CLI-1059,Zona Norte - SP,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1060,Zona Leste - SP,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1061,Zona Norte - SP,Fibra 1 Giga,199.9,0,N/A,,N/A,0,,
CLI-1062,Barra - RJ,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1063,Zona Leste - SP,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1064,Zona Norte - SP,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1065,Centro - RJ,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1066,Zona Sul - SP,Fibra 200 Mega,99.9,1,MNT-2026-001,2026-01-10 15:42:10,Sem Conexão / Queda Geral,0,,
CLI-1067,Barra - RJ,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1068,Zona Sul - SP,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1069,Savassi - BH,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1070,Barra - RJ,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1071,Zona Sul - SP,Fibra 200 Mega,99.9,1,MNT-2026-001,2026-01-10 17:25:19,Lentidão Extrema,1,2026-01-18,8.0
CLI-1072,Zona Sul - SP,Fibra 200 Mega,99.9,1,MNT-2026-001,2026-01-10 08:22:58,Perda de Pacotes / Oscilação,0,,
CLI-1073,Barra - RJ,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1074,Zona Sul - RJ,Fibra 1 Giga,199.9,1,MNT-2026-005,2026-02-18 04:13:17,Perda de Pacotes / Oscilação,1,2026-02-21,3.0
CLI-1075,Zona Sul - RJ,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1076,Barra - RJ,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1077,Zona Sul - SP,Fibra 400 Mega,129.9,1,MNT-2026-001,2026-01-10 16:50:12,Sem Conexão / Queda Geral,0,,
CLI-1078,Zona Leste - SP,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1079,Zona Sul - SP,Fibra 1 Giga,199.9,0,N/A,,N/A,0,,
CLI-1080,Centro - BH,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1081,Centro - RJ,Fibra 200 Mega,99.9,1,MNT-2026-002,2026-01-16 03:59:53,Lentidão Extrema,0,,
CLI-1082,Zona Norte - SP,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1083,Zona Sul - SP,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1084,Zona Norte - SP,Fibra 1 Giga,199.9,0,N/A,,N/A,0,,
CLI-1085,Zona Norte - SP,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1086,Zona Sul - RJ,Fibra 400 Mega,129.9,1,MNT-2026-005,2026-02-18 04:18:51,Lentidão Extrema,0,,
CLI-1087,Centro - RJ,Fibra 200 Mega,99.9,1,MNT-2026-002,2026-01-15 23:44:38,Sem Conexão / Queda Geral,0,,
CLI-1088,Centro - BH,Fibra 1 Giga,199.9,1,MNT-2026-004,2026-02-10 13:20:25,Lentidão Extrema,0,,
CLI-1089,Zona Leste - SP,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1090,Zona Sul - SP,Fibra 1 Giga,199.9,0,N/A,,N/A,0,,
CLI-1091,Zona Sul - RJ,Fibra 400 Mega,129.9,1,MNT-2026-005,2026-02-18 03:58:04,Perda de Pacotes / Oscilação,0,,
CLI-1092,Barra - RJ,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1093,Centro - RJ,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1094,Barra - RJ,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1095,Zona Leste - SP,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1096,Centro - RJ,Fibra 200 Mega,99.9,1,MNT-2026-002,2026-01-15 22:32:01,Sem Conexão / Queda Geral,0,,
CLI-1097,Zona Leste - SP,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1098,Zona Sul - SP,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1099,Zona Sul - SP,Fibra 400 Mega,129.9,1,MNT-2026-001,2026-01-10 16:51:34,Sem Conexão / Queda Geral,1,2026-01-17,7.0
CLI-1100,Zona Sul - SP,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1101,Centro - RJ,Fibra 1 Giga,199.9,0,N/A,,N/A,0,,
CLI-1102,Zona Norte - SP,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1103,Centro - RJ,Fibra 1 Giga,199.9,0,N/A,,N/A,0,,
CLI-1104,Centro - BH,Fibra 1 Giga,199.9,0,N/A,,N/A,0,,
CLI-1105,Zona Norte - SP,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1106,Zona Leste - SP,Fibra 400 Mega,129.9,1,MNT-2026-003,2026-02-01 10:41:29,Sem Conexão / Queda Geral,0,,
CLI-1107,Barra - RJ,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1108,Zona Norte - SP,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1109,Zona Sul - SP,Fibra 200 Mega,99.9,1,MNT-2026-001,2026-01-10 12:28:55,Perda de Pacotes / Oscilação,0,,
CLI-1110,Zona Norte - SP,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1111,Zona Sul - SP,Fibra 200 Mega,99.9,1,MNT-2026-001,2026-01-10 17:31:01,Lentidão Extrema,0,,
CLI-1112,Centro - BH,Fibra 200 Mega,99.9,1,MNT-2026-004,2026-02-10 15:43:10,Sem Conexão / Queda Geral,1,2026-02-15,5.0
CLI-1113,Barra - RJ,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1114,Centro - RJ,Fibra 400 Mega,129.9,1,MNT-2026-002,2026-01-16 00:52:40,Sem Conexão / Queda Geral,1,2026-02-05,20.0
CLI-1115,Centro - BH,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1116,Barra - RJ,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1117,Zona Sul - SP,Fibra 600 Mega,159.9,1,MNT-2026-001,2026-01-10 12:49:40,Sem Conexão / Queda Geral,0,,
CLI-1118,Centro - BH,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1119,Centro - RJ,Fibra 200 Mega,99.9,1,MNT-2026-002,2026-01-15 23:26:09,Lentidão Extrema,0,,
CLI-1120,Barra - RJ,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1121,Centro - BH,Fibra 1 Giga,199.9,0,N/A,,N/A,0,,
CLI-1122,Zona Norte - SP,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1123,Zona Sul - SP,Fibra 600 Mega,159.9,1,MNT-2026-001,2026-01-10 13:27:00,Perda de Pacotes / Oscilação,1,2026-02-08,29.0
CLI-1124,Zona Norte - SP,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1125,Zona Leste - SP,Fibra 400 Mega,129.9,1,MNT-2026-003,2026-02-01 09:58:27,Perda de Pacotes / Oscilação,0,,
CLI-1126,Barra - RJ,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1127,Centro - BH,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1128,Zona Sul - SP,Fibra 400 Mega,129.9,1,MNT-2026-001,2026-01-10 12:48:20,Perda de Pacotes / Oscilação,0,,
CLI-1129,Centro - RJ,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1130,Zona Leste - SP,Fibra 600 Mega,159.9,1,MNT-2026-003,2026-02-01 12:51:19,Lentidão Extrema,1,2026-02-12,11.0
CLI-1131,Zona Norte - SP,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1132,Zona Sul - SP,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1133,Zona Norte - SP,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1134,Savassi - BH,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1135,Zona Norte - SP,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1136,Centro - RJ,Fibra 600 Mega,159.9,1,MNT-2026-002,2026-01-15 22:41:05,Perda de Pacotes / Oscilação,0,,
CLI-1137,Zona Sul - RJ,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1138,Zona Leste - SP,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1139,Savassi - BH,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1140,Savassi - BH,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1141,Zona Norte - SP,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1142,Zona Leste - SP,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1143,Zona Norte - SP,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1144,Zona Norte - SP,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1145,Zona Sul - SP,Fibra 600 Mega,159.9,1,MNT-2026-001,2026-01-10 09:52:16,Lentidão Extrema,0,,
CLI-1146,Centro - RJ,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1147,Centro - RJ,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1148,Zona Sul - SP,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1149,Zona Norte - SP,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1150,Centro - BH,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1151,Zona Norte - SP,Fibra 600 Mega,159.9,0,N/A,,N/A,1,2026-02-03,
CLI-1152,Zona Sul - SP,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1153,Zona Leste - SP,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1154,Savassi - BH,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1155,Zona Norte - SP,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1156,Zona Sul - RJ,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1157,Barra - RJ,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1158,Zona Norte - SP,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1159,Zona Sul - RJ,Fibra 200 Mega,99.9,1,MNT-2026-005,2026-02-18 03:05:41,Lentidão Extrema,1,2026-03-16,26.0
CLI-1160,Zona Leste - SP,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1161,Centro - RJ,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1162,Centro - RJ,Fibra 400 Mega,129.9,1,MNT-2026-002,2026-01-15 22:37:54,Lentidão Extrema,0,,
CLI-1163,Centro - RJ,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1164,Zona Sul - SP,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1165,Barra - RJ,Fibra 600 Mega,159.9,0,N/A,,N/A,1,2026-02-08,
CLI-1166,Zona Norte - SP,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1167,Zona Sul - SP,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1168,Zona Sul - SP,Fibra 200 Mega,99.9,1,MNT-2026-001,2026-01-10 15:54:39,Lentidão Extrema,0,,
CLI-1169,Centro - RJ,Fibra 200 Mega,99.9,1,MNT-2026-002,2026-01-16 03:31:04,Perda de Pacotes / Oscilação,1,2026-02-14,29.0
CLI-1170,Zona Sul - RJ,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1171,Zona Sul - SP,Fibra 1 Giga,199.9,0,N/A,,N/A,1,2026-01-21,
CLI-1172,Centro - RJ,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1173,Zona Norte - SP,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1174,Centro - RJ,Fibra 400 Mega,129.9,1,MNT-2026-002,2026-01-16 01:55:32,Sem Conexão / Queda Geral,0,,
CLI-1175,Zona Sul - SP,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1176,Zona Sul - RJ,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1177,Zona Leste - SP,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1178,Savassi - BH,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1179,Zona Sul - SP,Fibra 400 Mega,129.9,1,MNT-2026-001,2026-01-10 13:22:56,Perda de Pacotes / Oscilação,1,2026-01-24,14.0
CLI-1180,Zona Norte - SP,Fibra 1 Giga,199.9,0,N/A,,N/A,0,,
CLI-1181,Zona Sul - SP,Fibra 400 Mega,129.9,1,MNT-2026-001,2026-01-10 11:10:05,Perda de Pacotes / Oscilação,0,,
CLI-1182,Centro - BH,Fibra 400 Mega,129.9,1,MNT-2026-004,2026-02-10 10:00:26,Lentidão Extrema,1,2026-02-24,14.0
CLI-1183,Centro - BH,Fibra 1 Giga,199.9,0,N/A,,N/A,0,,
CLI-1184,Zona Norte - SP,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1185,Zona Sul - RJ,Fibra 1 Giga,199.9,1,MNT-2026-005,2026-02-18 04:04:29,Sem Conexão / Queda Geral,0,,
CLI-1186,Barra - RJ,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1187,Centro - RJ,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1188,Centro - RJ,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1189,Zona Norte - SP,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1190,Zona Sul - SP,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1191,Centro - BH,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1192,Centro - BH,Fibra 400 Mega,129.9,1,MNT-2026-004,2026-02-10 13:37:30,Sem Conexão / Queda Geral,1,2026-02-18,8.0
CLI-1193,Centro - RJ,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1194,Zona Norte - SP,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1195,Zona Norte - SP,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1196,Zona Sul - RJ,Fibra 1 Giga,199.9,0,N/A,,N/A,0,,
CLI-1197,Centro - BH,Fibra 1 Giga,199.9,0,N/A,,N/A,0,,
CLI-1198,Centro - BH,Fibra 600 Mega,159.9,1,MNT-2026-004,2026-02-10 12:41:11,Perda de Pacotes / Oscilação,0,,
CLI-1199,Barra - RJ,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1200,Centro - RJ,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1201,Zona Sul - SP,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1202,Zona Sul - SP,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1203,Centro - BH,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1204,Centro - RJ,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1205,Zona Sul - SP,Fibra 600 Mega,159.9,1,MNT-2026-001,2026-01-10 16:27:30,Perda de Pacotes / Oscilação,0,,
CLI-1206,Zona Sul - SP,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1207,Zona Sul - RJ,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1208,Zona Sul - SP,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1209,Zona Sul - SP,Fibra 1 Giga,199.9,1,MNT-2026-001,2026-01-10 17:58:25,Lentidão Extrema,0,,
CLI-1210,Centro - RJ,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1211,Zona Sul - RJ,Fibra 400 Mega,129.9,1,MNT-2026-005,2026-02-18 02:07:30,Perda de Pacotes / Oscilação,1,2026-03-15,25.0
CLI-1212,Zona Sul - RJ,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1213,Zona Norte - SP,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1214,Zona Sul - RJ,Fibra 400 Mega,129.9,1,MNT-2026-005,2026-02-18 02:18:01,Sem Conexão / Queda Geral,1,2026-03-01,11.0
CLI-1215,Zona Norte - SP,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1216,Zona Norte - SP,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1217,Zona Sul - RJ,Fibra 400 Mega,129.9,1,MNT-2026-005,2026-02-18 02:44:35,Perda de Pacotes / Oscilação,1,2026-02-25,7.0
CLI-1218,Centro - RJ,Fibra 400 Mega,129.9,1,MNT-2026-002,2026-01-16 01:42:36,Lentidão Extrema,0,,
CLI-1219,Barra - RJ,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1220,Zona Sul - RJ,Fibra 1 Giga,199.9,1,MNT-2026-005,2026-02-18 02:54:43,Lentidão Extrema,0,,
CLI-1221,Centro - RJ,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1222,Zona Sul - SP,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1223,Zona Leste - SP,Fibra 1 Giga,199.9,1,MNT-2026-003,2026-02-01 09:03:13,Lentidão Extrema,1,2026-02-14,13.0
CLI-1224,Zona Norte - SP,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1225,Zona Norte - SP,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1226,Savassi - BH,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1227,Zona Leste - SP,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1228,Centro - BH,Fibra 1 Giga,199.9,0,N/A,,N/A,0,,
CLI-1229,Centro - RJ,Fibra 400 Mega,129.9,1,MNT-2026-002,2026-01-16 01:58:01,Lentidão Extrema,1,2026-01-27,11.0
CLI-1230,Barra - RJ,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1231,Centro - RJ,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1232,Centro - RJ,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1233,Zona Leste - SP,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1234,Zona Sul - SP,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1235,Zona Sul - RJ,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1236,Zona Norte - SP,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1237,Zona Sul - SP,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1238,Centro - RJ,Fibra 1 Giga,199.9,1,MNT-2026-002,2026-01-16 00:58:46,Sem Conexão / Queda Geral,0,,
CLI-1239,Zona Sul - SP,Fibra 200 Mega,99.9,1,MNT-2026-001,2026-01-10 14:54:06,Lentidão Extrema,0,,
CLI-1240,Savassi - BH,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1241,Savassi - BH,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1242,Centro - BH,Fibra 600 Mega,159.9,1,MNT-2026-004,2026-02-10 10:21:10,Perda de Pacotes / Oscilação,0,,
CLI-1243,Zona Leste - SP,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1244,Zona Sul - SP,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1245,Centro - BH,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1246,Zona Leste - SP,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
CLI-1247,Savassi - BH,Fibra 200 Mega,99.9,0,N/A,,N/A,1,2026-02-15,
CLI-1248,Savassi - BH,Fibra 1 Giga,199.9,0,N/A,,N/A,0,,
CLI-1249,Centro - BH,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1250,Zona Norte - SP,Fibra 600 Mega,159.9,0,N/A,,N/A,0,,
CLI-1251,Zona Leste - SP,Fibra 400 Mega,129.9,0,N/A,,N/A,0,,
CLI-1252,Centro - BH,Fibra 200 Mega,99.9,1,MNT-2026-004,2026-02-10 12:05:06,Sem Conexão / Queda Geral,0,,
CLI-1253,Zona Norte - SP,Fibra 200 Mega,99.9,0,N/A,,N/A,0,,
